Title,Channel,Published_Date,Description,View,Likes,Comment,Duration,Video_id
"Goodbye, strawberry skin🍓✨ I'm obsessed with my Giant Skincare 🤭 Get yours on Amazon! ✨🍓",milky🥛,2025-03-29T15:00:58Z,"It’s the Big Spring Sale and all SKINFOOD products are at their lowest prices ever!

https://amzn.to/43yK7bs

DISCLAIMER: this is a skincare prop and not fully filled with skincare!

I love sharing new products and their benefits! Skincare is so personal and what works for one person may not work for another! I only share products that I like. Every product I post, I have used in my personal routine before. It’s so important for everyone to do their own research and not rely solely on influencer recommendations. My goal is simply to introduce products in a creative way that might be beneficial for your skin, so you can make informed choices that work best for you!💗



Skinfood GIANT Strawberry Sugar Food Mask🍓✨ #skinfood #foodmask #fruitmask #porecleansing  #kbeauty #skincare #koreanskincare #giantskincare #facemask #strawberryskin #wonyoungism",8015499,213042,2959,PT15S,ni0tks2kynI
affordable skincare 🧼💦 #skincare #dovesoap,Audrey Victoria,2025-02-16T10:28:13Z,,1523053,43941,446,PT12S,Mk346BZF8qQ
Byoma Skincare for Kids? #byoma #skincareforkids #shorts,Garza Crew,2024-07-28T22:50:08Z,"Follow us on all other socials!

TikTok -  https://www.tiktok.com/@garzacrew?lang=en
Instagram - https://www.instagram.com/garzacrew?igsh=MTNueHhqdjFiY2t3bg==
Facebook - https://www.facebook.com/officialgarzacrew?mibextid=LQQJ4d&rdid=U78CXIa3tI1z9ENk

#garzacrew #skincare #twins #genalpha #twinmom #sisters #skincareproducts #momlife #skincareproducts 

Garza Crew / garzacrew / Garza crew twins / Garza crew youtube / Garza crew TikTok / Garza crew twins TikTok / Garza crew twin girls / twins / twin girls / twin sisters / Garza crew family / Garza crew age / Garza crew Instagram / Koti and Haven / Haven and Koti / Koti and Haven Garza / Haven and Koti Garza / Haven and Koti YouTube / Koti and Haven YouTube / Koti and Haven TikTok / Haven and Koti TikTok / Koti and Haven GRWM / Haven and Koti GRWM / Garza crew GRWM / Garza crew twins GRWM / Koti and Haven age / Haven and Koti age / Garza crew skincare  / Adrea Garza / Adrea Garza tiktok / Garza crew mom / Garza twins / twin mom / Garza crew controversy / gen alpha / byoma skincare/ skincare for kids / kids skincare",1428214,32289,611,PT29S,V-vCA7vb7rg
Skincare Review: Trying BYOMA for the First Time! 🧴🫧🧼,Demi Ngai,2023-10-29T17:00:14Z,"Trying Byoma Skincare for the first time and giving my first honest, impression of it.",1507171,55518,850,PT1M,ERFvDeTFQjc
My Skin Care Routine🤍#bindaaskavya #kavyalifestyle #skincare,Bindass Kavya Shorts,2025-05-16T06:54:02Z,,1395841,36981,236,PT1M,koCUEMYZYTo
If your skincare could talk,Jeenie.Weenie,2025-04-24T13:01:16Z,,985103,32849,197,PT29S,h1q-SXExxlU
Full Day Skincare Routine Under ₹1000/- 🤯💦,Alfiya Karim Khan,2025-03-04T14:05:20Z,,873191,48505,324,PT54S,-ArGc4ieh1M
An Entire Skincare Routine Under Rs.1000,Tarini Peshawaria,2022-12-08T07:02:34Z,"Hope you find this video helpful. If you do, do LIKE and SUBSCRIBE! 

Disclaimer - I am not a dermatologist and my content isn’t  a substitute for medical advice. This video is based on personal trial and research. Please do your own research and patch test before use. 

Products mentioned: 

• Cetaphil Skin Cleanser -  
https://nyk0.page.link/q8yyYb8KU3rVb4qy5
(This may not pregnancy & breast feeding safe) 

• Minimalist Salicylic Acid Cleanser - 
https://nyk0.page.link/HMiJfuRJTFH2cnLaA
(This may not pregnancy & breast feeding safe) 

• Minimalist 10% Niacinamide - 
https://nyk0.page.link/tFFYSGytuTSg7CBG7
( not beginner friendly - consider using 5% if you have sensitive skin or are a beginner into actives) 

• Suganda 5% Niacinamide (beginner & sensitive skin friendly) 
https://nyk0.page.link/wwKPiTRKC2WJbyfe9

• Emolene Moisturiser 
https://www.apollopharmacy.in/otc/emolene-cream-50gm

• Fixderma Sunscreen 
https://nyk0.page.link/8FsJKKfH2NFAxt1n7
(This is not pregnancy & breast feeding safe)",10896746,592324,1924,PT1M,ionmRKc-XTw
morning skincare routine💗 #aesthetic #asmr #skincare #selfcare #skincareroutine #pink #fyp #shorts,Sophia Xin,2025-01-30T16:23:35Z,,673243,24531,132,PT23S,1F8Wi-vjuQE
🧴My 9 steps bodycare routine #asmr #skincare #aesthetic #bodycare #cleangirl #nightroutine #fyp,Vivian JIu,2025-01-26T14:00:25Z,,2210805,77866,159,PT43S,pB77AXvHkNs
